codu_ec	cod_ec
878	878
875	875
879	879
879	880
955	955
806	806
806	886
143	143
814	814
810	810
812	812
804	804
800	800
800	801
800	805
747	747
876	876
456	456
462	462
457	457
888	888
464	464
464	465
458	458
458	459
885	885
454	454
455	455
869	869
435	435
435	443
435	444
435	445
432	432
432	433
432	434
432	436
432	437
432	439
432	440
432	441
432	442
438	438
446	446
446	447
453	453
881	881
797	797
802	802
803	803
808	808
697	697
798	798
798	799
807	807
460	460
460	461
867	867
815	815
704	704
686	686
451	451
816	816
452	452
794	794
793	793
793	795
793	796
31	31
176	176
463	463
705	705
833	833
134	134
953	953
189	189
144	144
707	707
169	169
188	188
702	702
696	696
180	180
737	737
737	738
185	185
183	183
183	817
809	809
813	813
811	811
698	698
138	138
138	139
138	186
138	187
171	171
791	791
791	792
744	744
1	1
191	191
179	179
120	120
198	198
739	739
196	196
199	199
693	693
75	75
75	96
206	206
116	116
155	155
121	121
203	203
203	207
83	83
181	181
167	167
146	146
146	148
146	149
165	165
150	150
204	204
163	163
205	205
131	131
172	172
173	173
173	174
173	175
743	743
178	178
60	60
450	450
448	448
119	119
110	110
110	122
208	208
113	113
154	154
154	156
154	162
154	177
937	937
124	124
182	182
58	58
740	740
84	84
118	118
147	147
159	159
390	390
735	735
141	141
184	184
157	157
195	195
736	736
90	90
90	92
128	128
128	129
168	168
168	170
125	125
192	192
166	166
193	193
193	194
136	136
88	88
700	700
112	112
746	746
98	98
98	114
202	202
197	197
860	860
111	111
135	135
209	209
100	100
210	210
93	93
130	130
126	126
126	127
145	145
86	86
405	405
103	103
690	690
74	74
91	91
104	104
687	687
78	78
78	79
101	101
691	691
956	956
377	377
377	380
132	132
89	89
379	379
832	832
76	76
76	949
384	384
384	877
142	142
383	383
133	133
97	97
108	108
137	137
137	140
137	158
137	190
137	201
77	77
836	836
836	837
151	151
952	952
376	376
376	378
689	689
160	160
160	161
85	85
102	102
200	200
153	153
87	87
859	859
107	107
966	966
962	962
117	117
852	852
109	109
24	24
868	868
81	81
387	387
401	401
401	402
701	701
382	382
389	389
106	106
915	915
915	916
915	917
82	82
94	94
388	388
123	123
105	105
391	391
449	449
957	957
386	386
392	392
99	99
853	853
918	918
918	919
918	920
385	385
393	393
393	403
394	394
394	395
778	778
838	838
38	38
754	754
428	428
676	676
429	429
429	430
882	882
912	912
912	913
912	914
65	65
665	665
742	742
741	741
713	713
713	723
713	733
3	3
884	884
753	753
381	381
669	669
652	652
706	706
758	758
758	759
758	760
758	761
948	948
961	961
725	725
4	4
4	666
427	427
950	950
752	752
47	47
47	95
54	54
54	55
44	44
43	43
688	688
688	724
431	431
661	661
751	751
650	650
855	855
766	766
410	410
663	663
692	692
835	835
835	854
835	857
872	872
656	656
656	657
755	755
664	664
748	748
887	887
80	80
834	834
965	965
851	851
7	7
7	8
653	653
653	654
653	655
651	651
695	695
675	675
396	396
960	960
662	662
152	152
756	756
22	22
22	23
945	945
672	672
5	5
397	397
256	256
694	694
694	951
659	659
674	674
699	699
658	658
6	6
703	703
73	73
954	954
946	946
958	958
958	959
18	18
18	32
18	33
18	34
18	35
18	36
18	37
18	843
18	844
18	845
18	846
745	745
938	938
767	767
16	16
26	26
26	40
17	17
728	728
944	944
57	57
967	967
115	115
25	25
769	769
769	770
769	777
660	660
260	260
306	306
750	750
750	757
750	762
750	763
773	773
671	671
947	947
774	774
774	775
13	13
30	30
30	667
30	668
346	346
346	347
346	350
346	351
346	354
346	355
679	679
679	680
679	681
679	684
28	28
28	29
15	15
850	850
873	873
670	670
963	963
364	364
14	14
211	211
828	828
304	304
831	831
892	892
892	898
892	904
409	409
821	821
821	823
421	421
421	422
779	779
874	874
874	889
936	936
936	941
908	908
908	910
908	911
423	423
890	890
890	894
890	895
890	896
890	900
890	901
890	902
890	906
890	907
310	310
315	315
865	865
48	48
726	726
891	891
891	893
891	897
891	899
891	903
891	905
164	164
64	64
298	298
298	372
933	933
933	934
933	935
933	943
866	866
348	348
408	408
294	294
9	9
9	12
820	820
782	782
213	213
213	214
370	370
370	734
685	685
819	819
39	39
768	768
768	771
768	772
768	776
818	818
682	682
215	215
20	20
20	27
311	311
678	678
678	683
2	2
45	45
11	11
334	334
251	251
909	909
829	829
827	827
332	332
41	41
677	677
230	230
230	252
316	316
296	296
296	297
300	300
300	301
219	219
219	257
219	314
292	292
293	293
333	333
63	63
361	361
822	822
68	68
942	942
303	303
374	374
267	267
352	352
349	349
349	353
42	42
328	328
231	231
229	229
235	235
212	212
274	274
359	359
359	360
830	830
258	258
237	237
330	330
324	324
785	785
785	786
785	787
785	788
785	789
785	790
242	242
326	326
302	302
302	305
222	222
337	337
227	227
291	291
239	239
375	375
236	236
236	317
236	335
10	10
280	280
280	329
247	247
824	824
273	273
928	928
270	270
338	338
929	929
929	930
266	266
61	61
277	277
277	721
871	871
714	714
714	715
228	228
411	411
411	412
411	425
283	283
283	284
283	286
283	287
283	288
283	289
340	340
345	345
883	883
323	323
307	307
308	308
282	282
282	285
282	290
264	264
72	72
234	234
327	327
673	673
924	924
224	224
224	225
224	241
224	263
224	272
224	339
224	342
224	343
224	358
224	366
246	246
246	248
246	253
246	255
53	53
368	368
299	299
220	220
220	710
254	254
321	321
218	218
218	223
218	269
406	406
367	367
825	825
265	265
265	268
365	365
369	369
232	232
336	336
243	243
281	281
278	278
711	711
711	712
245	245
244	244
309	309
238	238
238	262
238	341
927	927
720	720
373	373
66	66
925	925
925	931
925	932
925	939
925	940
325	325
363	363
363	732
71	71
371	371
312	312
295	295
331	331
46	46
249	249
271	271
271	275
62	62
926	926
357	357
279	279
51	51
426	426
52	52
276	276
259	259
722	722
344	344
344	731
50	50
217	217
921	921
418	418
923	923
216	216
922	922
318	318
318	319
858	858
19	19
313	313
226	226
226	322
49	49
67	67
727	727
233	233
261	261
261	719
404	404
419	419
21	21
417	417
413	413
362	362
407	407
414	414
414	416
415	415
69	69
356	356
708	708
826	826
70	70
56	56
400	400
424	424
729	729
730	730
841	841
839	839
840	840
847	847
847	848
847	849
221	221
221	709
240	240
240	250
398	398
398	399
420	420
59	59
842	842
320	320
466	466
467	467
468	468
469	469
470	470
471	471
472	472
473	473
474	474
475	475
476	476
477	477
478	478
479	479
480	480
481	481
482	482
483	483
484	484
485	485
486	486
487	487
488	488
489	489
490	490
491	491
492	492
493	493
494	494
495	495
496	496
497	497
498	498
499	499
500	500
501	501
502	502
503	503
504	504
505	505
506	506
507	507
508	508
509	509
510	510
511	511
512	512
513	513
514	514
515	515
516	516
517	517
518	518
519	519
520	520
521	521
522	522
523	523
524	524
525	525
526	526
527	527
528	528
529	529
530	530
531	531
532	532
533	533
534	534
535	535
536	536
537	537
538	538
539	539
540	540
541	541
542	542
543	543
544	544
545	545
546	546
547	547
548	548
549	549
550	550
551	551
552	552
553	553
554	554
555	555
556	556
557	557
558	558
559	559
560	560
561	561
562	562
563	563
564	564
565	565
566	566
567	567
568	568
569	569
570	570
571	571
572	572
573	573
574	574
575	575
576	576
577	577
578	578
579	579
580	580
581	581
582	582
583	583
584	584
585	585
586	586
587	587
588	588
589	589
590	590
591	591
592	592
593	593
594	594
595	595
596	596
597	597
598	598
599	599
600	600
601	601
602	602
603	603
604	604
605	605
606	606
607	607
608	608
609	609
610	610
611	611
612	612
613	613
614	614
615	615
616	616
617	617
618	618
619	619
620	620
621	621
622	622
623	623
624	624
625	625
626	626
627	627
628	628
629	629
630	630
631	631
632	632
633	633
634	634
635	635
636	636
637	637
638	638
639	639
640	640
641	641
642	642
643	643
644	644
645	645
646	646
647	647
648	648
649	649
716	716
717	717
718	718
749	749
764	764
765	765
780	780
781	781
783	783
784	784
856	856
861	861
862	862
863	863
864	864
870	870
964	964
968	968
969	969
970	970
971	971
972	972
