nprep	nom_prep	prct	cantidad	cod_ec
1/4 pollo asado con papas fritas	pollo	0.477876106	216	327
1/4 pollo asado con papas fritas	papas	0.199115044	90	132
1/4 pollo asado con papas fritas	arroz	0.17699115	80	7
1/4 pollo asado con papas fritas	tomate riñón	0.044247788	20	110
1/4 pollo asado con papas fritas	lechuga	0.037610619	17	111
1/4 pollo asado con papas fritas	aceite	0.022123894	10	440
1/4 pollo asado con papas fritas	salsa de tomate	0.022123894	10	746
1/4 pollo asado con papas fritas	mayonesa	0.011061947	5	740
1/4 pollo asado con papas fritas	sal	0.004424779	2	875
1/4 pollo asado con papas fritas	ajo	0.003318584	1.5	80
1/4 pollo asado con papas fritas	comino	0.001106195	0.5	871
aliño	ajo	0.650406504	800	80
aliño	pimiento verde	0.081300813	100	119
aliño	apio 	0.048780488	60	83
aliño	cebolla paiteña	0.040650407	50	92
aliño	cebolla perla	0.040650407	50	90
aliño	culantro	0.040650407	50	97
aliño	perejil	0.040650407	50	117
aliño	zanahoria amarilla	0.040650407	50	124
aliño	sal	0.016260163	20	875
arepas de zapallo	zapallo	0.602264515	500	89
arepas de zapallo	harina de maíz	0.120452903	100	23
arepas de zapallo	manteca de cerdo	0.083112503	69	447
arepas de zapallo	huevo	0.063840039	53	213
arepas de zapallo	queso fresco	0.054203806	45	412
arepas de zapallo	azúcar	0.036135871	30	458
arepas de zapallo	panela	0.032522284	27	465
arepas de zapallo	pasas	0.00746808	6.2	852
arrope de mora	mora	0.6	1500	209
arrope de mora	agua	0.2	500	878
arrope de mora	azúcar	0.2	500	458
arroz con huevo frito	arroz	0.50896861	454	7
arroz con huevo frito	huevo	0.237668161	212	213
arroz con huevo frito	tomate riñón	0.188340807	168	110
arroz con huevo frito	aceite	0.060538117	54	440
arroz con huevo frito	sal	0.004484305	4	875
arroz con leche	leche entera	0.572803299	1000	387
arroz con leche	agua	0.28640165	500	878
arroz con leche	arroz	0.083743842	146.2	7
arroz con leche	azúcar	0.0381487	66.6	458
arroz con leche	yema de huevo	0.009164853	16	212
arroz con leche	mantequilla	0.008592049	15	448
arroz con leche	canela en polvo	0.000859205	1.5	882
arroz con leche	canela	0.000286402	0.5	882
arroz con menestra de lenteja y carne frita	arroz 	0.297973778	200	7
arroz con menestra de lenteja y carne frita	carne	0.223480334	150	241
arroz con menestra de lenteja y carne frita	tomate	0.177294398	119	110
arroz con menestra de lenteja y carne frita	lenteja	0.148986889	100	57
arroz con menestra de lenteja y carne frita	cebolla paiteña	0.059594756	40	92
arroz con menestra de lenteja y carne frita	cebolla blanca	0.035756853	24	91
arroz con menestra de lenteja y carne frita	ajo	0.017878427	12	80
arroz con menestra de lenteja y carne frita	limón 	0.017878427	12	168
arroz con menestra de lenteja y carne frita	aceite	0.014898689	10	440
arroz con menestra de lenteja y carne frita	sal	0.005959476	4	875
arroz con menestra de lenteja y carne frita	pimienta	0.000297974	0.2	873
arroz con menestra de lenteja, carne frita y patacones	plátano verde	0.317372959	346	197
arroz con menestra de lenteja, carne frita y patacones	arroz 	0.208218675	227	7
arroz con menestra de lenteja, carne frita y patacones	carne	0.179783526	196	241
arroz con menestra de lenteja, carne frita y patacones	tomate	0.109154284	119	110
arroz con menestra de lenteja, carne frita y patacones	lenteja	0.091726289	100	57
arroz con menestra de lenteja, carne frita y patacones	cebolla paiteña	0.036690516	40	92
arroz con menestra de lenteja, carne frita y patacones	cebolla blanca	0.022014309	24	91
arroz con menestra de lenteja, carne frita y patacones	ajo	0.011007155	12	80
arroz con menestra de lenteja, carne frita y patacones	limón 	0.011007155	12	168
arroz con menestra de lenteja, carne frita y patacones	aceite	0.009172629	10	440
arroz con menestra de lenteja, carne frita y patacones	sal	0.003669052	4	875
arroz con menestra de lenteja, carne frita y patacones	pimienta	0.000183453	0.2	873
arroz con pescado frito, patacones y encebollado	arroz	0.274872294	113	7
arroz con pescado frito, patacones y encebollado	verde	0.274872294	113	197
arroz con pescado frito, patacones y encebollado	filete de pescado	0.218924836	90	223
arroz con pescado frito, patacones y encebollado	tomate riñón	0.102164923	42	110
arroz con pescado frito, patacones y encebollado	cebolla paiteña	0.072974945	30	92
arroz con pescado frito, patacones y encebollado	aceite	0.038919971	8	440
arroz con pescado frito, patacones y encebollado	ajo	0.007297495	3	80
