cdp	nprep	nom_prep	cantidad	num_porc	cod_ec
486	Viche de pescado	pescado albacora	227	1	218
486	Viche de pescado	mani molido	200	1	67
486	Viche de pescado	choclo tierno	141	1	106
486	Viche de pescado	aceite de palma	24	1	440
486	Viche de pescado	cebolla paiteña	270	1	92
486	Viche de pescado	ajo	12	1	80
486	Viche de pescado	pimiento verde	72	1	119
486	Viche de pescado	plátano verde	231	1	197
486	Viche de pescado	yuca	611	1	135
486	Viche de pescado	leche entera	240	1	387
486	Viche de pescado	agua	2400	1	878
486	Viche de pescado	aliño	13	1	870
486	Viche de pescado	comino	4.5	1	871
486	Viche de pescado	culantro	28	1	97
486	Viche de pescado	sal	12	1	875
486	Viche de pescado	pimienta	1.5	1	873
507	cebiche de camarón con arroz	camarón	30	8	232
507	cebiche de camarón con arroz	cebolla paiteña	30	8	92
507	cebiche de camarón con arroz	tomate riñón	40	8	110
507	cebiche de camarón con arroz	jugo de limón	10	8	169
507	cebiche de camarón con arroz	aceite vegetal	10	8	444
507	cebiche de camarón con arroz	salsa de tomate	17	8	746
507	cebiche de camarón con arroz	culantro	3	8	97
507	cebiche de camarón con arroz	mostaza	5	8	741
507	cebiche de camarón con arroz	jugo de naranja	90	8	181
507	cebiche de camarón con arroz	sal 	0.5	8	875
507	cebiche de camarón con arroz	pimienta	0.5	8	873
507	cebiche de camarón con arroz	canguil	36	8	39
507	cebiche de camarón con arroz	tostado	20	8	35
507	cebiche de camarón con arroz	chifles	20	8	836
507	cebiche de camarón con arroz	pescado	30	8	223
507	cebiche de camarón con arroz	concha	40	8	257
507	cebiche de camarón con arroz	arroz	113	8	7
507	cebiche de camarón con arroz	aceite 	2	8	440
507	cebiche de camarón con arroz	sal	1.5	8	875
466	Bolón de chicharrón y queso	aceite de palma	10	1	440
466	Bolón de chicharrón y queso	chicharrón	30	1	260
466	Bolón de chicharrón y queso	plátano verde	80	1	197
466	Bolón de chicharrón y queso	sal	1.5	1	875
466	Bolón de chicharrón y queso	manteca de cerdo	6	1	447
466	Bolón de chicharrón y queso	queso fresco	30	1	412
466	Bolón de chicharrón y queso	comino	0.2	1	871
467	Caldo de bagre	bagre	1000	8	222
467	Caldo de bagre	mani molido	200	8	69
467	Caldo de bagre	yuca	350	8	135
467	Caldo de bagre	plátano verde	400	8	197
467	Caldo de bagre	ajo	3	8	80
467	Caldo de bagre	agua	3500	8	878
467	Caldo de bagre	aceite	12	8	440
467	Caldo de bagre	achiote	9	8	889
467	Caldo de bagre	comino	5	8	871
467	Caldo de bagre	sal	12	8	875
468	Encebollado	pescado albacora	908	10	218
468	Encebollado	yuca	952	10	135
468	Encebollado	tomate riñón	612	10	110
468	Encebollado	pimiento verde	184	10	119
468	Encebollado	cebolla paiteña	540	10	92
468	Encebollado	ajo	12	10	80
468	Encebollado	comino	3	10	871
468	Encebollado	sal	15	10	875
468	Encebollado	cebolla paiteña	50	10	92
468	Encebollado	limón sutil	288	10	168
468	Encebollado	aceite	27	10	440
468	Encebollado	culantro	56	10	97
468	Encebollado	agua	1700	10	878
469	Pescado frito	pescado dorado	90	1	269
469	Pescado frito	aceite	5	1	440
469	Pescado frito	ajo	3	1	80
469	Pescado frito	comino	0.2	1	871
469	Pescado frito	sal 	0.2	1	875
469	Pescado frito	pimienta	0.2	1	873
470	Guatita	panza de res	681	6	298
470	Guatita	agua	1000	6	878
470	Guatita	culantro	26	6	97
470	Guatita	papa	600	6	133
470	Guatita	aceite	14	6	440
470	Guatita	leche entera	240	6	387
470	Guatita	cebolla paiteña	96	6	92
470	Guatita	mani molido	120	6	69
470	Guatita	cebolla blanca	67	6	91
470	Guatita	pimienta 	1.5	6	873
470	Guatita	pimiento verde	72	6	119
470	Guatita	comino 	4.5	6	871
470	Guatita	aguacate	67.83	6	76
470	Guatita	lechuga	69	6	111
470	Guatita	arroz	500	6	7
470	Guatita	ajo	6	6	80
470	Guatita	sal 	9	6	875
471	Caldo de Manguera	tripa (vísceras)	400	10	372
471	Caldo de Manguera	limón sutil	170	10	168
471	Caldo de Manguera	cebolla paiteña	576	10	92
471	Caldo de Manguera	cebolla blanca	63	10	91
471	Caldo de Manguera	pimiento verde	216	10	119
471	Caldo de Manguera	tomate riñón	476	10	110
471	Caldo de Manguera	ajo	18	10	80
471	Caldo de Manguera	culantro	26	10	96
471	Caldo de Manguera	perejil	26	10	117
471	Caldo de Manguera	sangre de cerdo	600	10	361
471	Caldo de Manguera	arroz	454	10	7
471	Caldo de Manguera	col	120	10	98
471	Caldo de Manguera	plátano verde	1386	10	197
471	Caldo de Manguera	carne de cerdo	908	10	243
471	Caldo de Manguera	maní	75	10	69
473	Mazamorra	leche entera	240	1	387
473	Mazamorra	harina de maíz	17	1	23
473	Mazamorra	panela	6	1	464
473	Mazamorra	canela	1	1	882
475	Maito	tilapia	250	1	369
475	Maito	verde	80	1	197
475	Maito	yuca	80	1	135
475	Maito	cebolla paiteña	20	1	92
475	Maito	tomate riñón	63	1	110
475	Maito	sal	1.5	1	875
477	Pincho de chontacuro	chontacuros	25	1	375
477	Pincho de chontacuro	sal	1.5	1	875
478	Chicha de Chonta	chontaduro	850	16	153
478	Chicha de Chonta	jugo de caña	3000	16	144
479	Chicha de Yuca	azúcar	168	16	458
479	Chicha de Yuca	yuca	728	16	135
479	Chicha de Yuca	camote	122	16	127
479	Chicha de Yuca	agua	3000	16	878
480	galletas de almidón	almidón de yuca	470	100	1
